0,2,2,12,12,15,15,15,10,10,10,10,15,10,12,2,10,10,5
2,0,2,12,12,15,15,15,10,10,10,10,15,10,12,2,10,10,5
2,2,0,12,12,15,15,15,10,10,10,10,15,10,12,2,10,10,5
12,12,12,0,2,15,15,15,18,18,18,18,15,15,0,8,15,14,11
12,12,12,2,0,15,15,15,18,18,18,18,15,15,2,8,15,14,11
15,15,15,15,15,0,2,2,8,8,8,8,0,4,15,12,4,6,7
15,15,15,15,15,2,0,2,8,8,8,8,2,4,15,12,4,6,7
15,15,15,15,15,2,2,0,8,8,8,8,2,4,15,12,4,6,7
10,10,10,18,18,8,8,8,0,2,2,3,8,4,18,8,4,2,7
10,10,10,18,18,8,8,8,2,0,2,3,8,4,18,8,4,2,7
10,10,10,18,18,8,8,8,2,2,0,3,8,4,18,8,4,2,7
10,10,10,18,18,8,8,8,3,3,3,0,8,4,18,8,4,2,7
15,15,15,15,15,0,2,2,8,8,8,8,0,4,15,12,4,6,7
10,10,10,15,15,4,4,4,4,4,4,4,4,0,15,7,2,10,6
12,12,12,0,2,15,15,15,18,18,18,18,15,15,0,8,15,14,11
2,2,2,8,8,12,12,12,8,8,8,8,12,7,8,0,7,9,6
10,10,10,15,15,4,4,4,4,4,4,4,4,2,15,7,0,10,6
10,10,10,14,14,6,6,6,2,2,2,2,6,10,14,9,10,0,6
5,5,5,11,11,7,7,7,7,7,7,7,7,6,11,6,6,6,0
